=== EMOTION ANALYSIS SUMMARY REPORT ===
03-01-08-02-02-01-02: Predicted as 'disgust' (1/1 samples)
03-01-05-02-01-01-02: Predicted as 'neutral' (1/1 samples)
03-01-06-01-02-01-02: Predicted as 'surprised' (1/1 samples)
03-01-06-01-01-02-02: Predicted as 'surprised' (1/1 samples)
03-01-04-01-01-02-02: Predicted as 'neutral' (1/1 samples)
03-01-08-01-01-02-02: Predicted as 'disgust' (1/1 samples)
03-01-05-01-01-01-02: Predicted as 'neutral' (1/1 samples)
03-01-05-01-02-01-02: Predicted as 'neutral' (1/1 samples)
03-01-03-01-01-01-02: Predicted as 'neutral' (1/1 samples)
03-01-02-01-01-01-02: Predicted as 'surprised' (1/1 samples)
03-01-04-02-02-01-02: Predicted as 'neutral' (1/1 samples)
03-01-04-02-02-02-02: Predicted as 'neutral' (1/1 samples)
03-01-07-01-02-01-02: Predicted as 'neutral' (1/1 samples)
03-01-07-02-01-01-02: Predicted as 'calm' (1/1 samples)
03-01-01-01-02-02-02: Predicted as 'disgust' (1/1 samples)
03-01-06-02-02-01-02: Predicted as 'surprised' (1/1 samples)
03-01-06-02-01-01-02: Predicted as 'surprised' (1/1 samples)
03-01-05-02-02-01-02: Predicted as 'neutral' (1/1 samples)
03-01-03-02-01-02-02: Predicted as 'neutral' (1/1 samples)
03-01-08-01-02-01-02: Predicted as 'disgust' (1/1 samples)
03-01-08-02-01-01-02: Predicted as 'disgust' (1/1 samples)
03-01-06-01-02-02-02: Predicted as 'surprised' (1/1 samples)
03-01-04-02-01-02-02: Predicted as 'neutral' (1/1 samples)
03-01-07-02-02-01-02: Predicted as 'calm' (1/1 samples)
03-01-04-01-01-01-02: Predicted as 'neutral' (1/1 samples)
03-01-07-02-01-02-02: Predicted as 'calm' (1/1 samples)
03-01-07-01-01-01-02: Predicted as 'calm' (1/1 samples)
03-01-03-02-02-02-02: Predicted as 'neutral' (1/1 samples)
03-01-07-01-02-02-02: Predicted as 'neutral' (1/1 samples)
03-01-06-01-01-01-02: Predicted as 'surprised' (1/1 samples)
03-01-02-01-01-02-02: Predicted as 'surprised' (1/1 samples)
03-01-01-01-01-01-02: Predicted as 'disgust' (1/1 samples)
03-01-02-02-01-01-02: Predicted as 'surprised' (1/1 samples)
03-01-01-01-01-02-02: Predicted as 'disgust' (1/1 samples)
03-01-04-01-02-01-02: Predicted as 'surprised' (1/1 samples)
03-01-05-01-01-02-02: Predicted as 'neutral' (1/1 samples)
03-01-02-02-01-02-02: Predicted as 'surprised' (1/1 samples)
03-01-03-01-02-01-02: Predicted as 'disgust' (1/1 samples)
03-01-02-01-01-02-04: Predicted as 'fearful' (1/1 samples)
03-01-01-01-01-01-04: Predicted as 'disgust' (1/1 samples)
03-01-04-01-01-02-04: Predicted as 'neutral' (1/1 samples)
03-01-08-02-02-02-04: Predicted as 'disgust' (1/1 samples)
03-01-02-01-02-01-04: Predicted as 'fearful' (1/1 samples)
03-01-07-01-02-02-04: Predicted as 'sad' (1/1 samples)
03-01-03-02-02-01-04: Predicted as 'neutral' (1/1 samples)
03-01-06-02-01-02-04: Predicted as 'surprised' (1/1 samples)
03-01-04-01-02-01-04: Predicted as 'neutral' (1/1 samples)
03-01-05-01-01-01-04: Predicted as 'neutral' (1/1 samples)
03-01-08-02-01-01-04: Predicted as 'disgust' (1/1 samples)
03-01-08-01-01-01-04: Predicted as 'fearful' (1/1 samples)
03-01-07-02-01-01-04: Predicted as 'fearful' (1/1 samples)
03-01-03-01-02-02-04: Predicted as 'disgust' (1/1 samples)
03-01-07-01-02-01-04: Predicted as 'calm' (1/1 samples)
03-01-03-01-01-02-04: Predicted as 'disgust' (1/1 samples)
03-01-05-01-02-01-04: Predicted as 'neutral' (1/1 samples)
03-01-02-01-01-01-04: Predicted as 'fearful' (1/1 samples)
03-01-05-01-01-02-04: Predicted as 'neutral' (1/1 samples)
03-01-04-01-01-01-04: Predicted as 'neutral' (1/1 samples)
03-01-07-01-01-02-04: Predicted as 'neutral' (1/1 samples)
03-01-02-02-02-02-04: Predicted as 'surprised' (1/1 samples)
03-01-08-02-01-02-04: Predicted as 'disgust' (1/1 samples)
03-01-01-01-01-02-04: Predicted as 'disgust' (1/1 samples)
03-01-08-01-02-01-04: Predicted as 'disgust' (1/1 samples)
03-01-03-01-02-01-04: Predicted as 'neutral' (1/1 samples)
03-01-05-02-01-01-04: Predicted as 'neutral' (1/1 samples)
03-01-08-02-02-01-04: Predicted as 'disgust' (1/1 samples)
03-01-08-01-02-02-04: Predicted as 'disgust' (1/1 samples)
03-01-07-02-02-02-04: Predicted as 'neutral' (1/1 samples)
03-01-07-02-01-02-04: Predicted as 'fearful' (1/1 samples)
03-01-05-01-02-02-04: Predicted as 'neutral' (1/1 samples)
03-01-07-02-02-01-04: Predicted as 'sad' (1/1 samples)
03-01-04-02-02-02-04: Predicted as 'surprised' (1/1 samples)
03-01-05-02-02-02-04: Predicted as 'neutral' (1/1 samples)
03-01-05-02-02-01-04: Predicted as 'neutral' (1/1 samples)
03-01-04-02-01-01-04: Predicted as 'neutral' (1/1 samples)
03-01-05-02-01-02-04: Predicted as 'neutral' (1/1 samples)
03-01-07-01-01-01-04: Predicted as 'neutral' (1/1 samples)
03-01-06-01-02-01-04: Predicted as 'surprised' (1/1 samples)
03-01-04-01-02-02-04: Predicted as 'neutral' (1/1 samples)
03-01-03-02-01-01-04: Predicted as 'neutral' (1/1 samples)
03-01-06-02-02-01-04: Predicted as 'neutral' (1/1 samples)
03-01-02-02-01-01-04: Predicted as 'surprised' (1/1 samples)
03-01-04-02-02-01-04: Predicted as 'neutral' (1/1 samples)
03-01-06-01-01-01-04: Predicted as 'surprised' (1/1 samples)
03-01-06-01-02-02-04: Predicted as 'surprised' (1/1 samples)
03-01-03-02-01-02-04: Predicted as 'neutral' (1/1 samples)
03-01-02-01-02-02-04: Predicted as 'surprised' (1/1 samples)
03-01-04-02-01-02-04: Predicted as 'neutral' (1/1 samples)
03-01-03-01-01-01-04: Predicted as 'neutral' (1/1 samples)
03-01-02-02-02-01-04: Predicted as 'surprised' (1/1 samples)
03-01-08-01-01-02-04: Predicted as 'disgust' (1/1 samples)
03-01-01-01-02-02-04: Predicted as 'disgust' (1/1 samples)
03-01-01-01-02-01-04: Predicted as 'disgust' (1/1 samples)
03-01-06-02-02-02-04: Predicted as 'happy' (1/1 samples)
03-01-03-02-02-02-04: Predicted as 'neutral' (1/1 samples)
03-01-02-02-01-02-04: Predicted as 'surprised' (1/1 samples)
03-01-06-01-01-02-04: Predicted as 'surprised' (1/1 samples)
03-01-06-02-01-01-04: Predicted as 'surprised' (1/1 samples)
